"","mean","sd"
"1990",0.0177071286945244,3.37767086306265e-06
"1991",0.0176204157053977,3.35836254064195e-06
"1992",0.0175458686546094,3.34175208842666e-06
"1993",0.0174869459587493,3.32568736289527e-06
"1994",0.0174451145694519,3.31023455590073e-06
"1995",0.0174251829237537,3.29579401752743e-06
"1996",0.0173848684306542,3.27813532474228e-06
"1997",0.0172955301347662,3.25490337293601e-06
"1998",0.0171842103222253,3.22808473620194e-06
"1999",0.0170793621731568,3.19973595747005e-06
"2000",0.0170159100372653,3.17353011019109e-06
"2001",0.0169882280291359,3.15002501674824e-06
"2002",0.0169604928175247,3.12729894322566e-06
"2003",0.0169292793582604,3.10558825435505e-06
"2004",0.0168913924264472,3.08510926791053e-06
"2005",0.01684257676824,3.0659079524941e-06
"2006",0.0167752442741745,3.04671644219365e-06
"2007",0.0166928541353927,3.02817750230803e-06
"2008",0.0166129613882262,3.01298830566692e-06
"2009",0.0165505256921171,3.00177698223442e-06
"2010",0.0165194298473871,2.99713170044484e-06
"2011",0.016521241595818,2.99880562171248e-06
"2012",0.0165361233086998,3.00280457897579e-06
"2013",0.0165567552235769,3.00711434294088e-06
"2014",0.0165780402032387,3.01085288081191e-06
"2015",0.0165897761809386,3.01213536907447e-06
"2016",0.0166004225056901,3.01044068477989e-06
"2017",0.0166175072450836,3.00635499125174e-06
"2018",0.0166332659562533,2.9997675661074e-06
"2019",0.0166405569619044,2.99064361206216e-06
"2020",0.0166372491234691,2.97933110306409e-06
"2021",0.0166556283592551,2.96927914731762e-06
"2022",0.0166378403312153,2.95445530104028e-06
"2023",0.0163795325400626,2.91745077795643e-06
"2024",0.016388205041178,0.00019103315159536
"2025",0.0163084747688855,0.000263190463579122
"2026",0.0162299850539529,0.000354699915780651
"2027",0.0161504087890753,0.00046132135637354
"2028",0.0160696044502581,0.000581634854426806
"2029",0.0159924006417496,0.00071527321300728
"2030",0.0159180429432165,0.000860162485873319
"2031",0.0158449916522288,0.00101535405555242
"2032",0.0157710250392396,0.00118066376473168
"2033",0.0156952657482384,0.00135645017786157
"2034",0.0156198704046392,0.00154316724002307
"2035",0.0155448372393938,0.00173976194029141
"2036",0.0154701644983611,0.00194534688886714
"2037",0.0153958504415229,0.00215916614413506
"2038",0.0153218933413864,0.00238056793547611
"2039",0.0152482914815962,0.00260898361416503
"2040",0.0151750431559784,0.00284391156343318
