"","mean","sd"
"1990",0.017707129050182,3.37767376869854e-06
"1991",0.0176204159047404,3.35836315228434e-06
"1992",0.0175458686583738,3.34175151345847e-06
"1993",0.0174869457494834,3.32568641136704e-06
"1994",0.0174451142304797,3.31023448982763e-06
"1995",0.017425182573397,3.29579470329215e-06
"1996",0.0173848682199653,3.2781353464524e-06
"1997",0.0172955301382387,3.25490154277414e-06
"1998",0.0171842105063899,3.22808234144385e-06
"1999",0.0170793624736826,3.19973432578506e-06
"2000",0.0170159103341943,3.17352794633419e-06
"2001",0.0169882282409759,3.15002150716444e-06
"2002",0.0169604928646608,3.12729501982481e-06
"2003",0.0169292791763526,3.10558467675393e-06
"2004",0.0168913920519061,3.08510621205668e-06
"2005",0.0168425763277932,3.06590509219951e-06
"2006",0.0167752439265514,3.04671316324777e-06
"2007",0.0166928539877759,3.02817380103825e-06
"2008",0.0166129614614423,3.01298468887777e-06
"2009",0.0165505259462825,3.00177381995557e-06
"2010",0.0165194301968314,2.99712902484449e-06
"2011",0.0165212419472195,2.99880288353561e-06
"2012",0.0165361235997152,3.00280192037161e-06
"2013",0.0165567554136419,3.00711199469349e-06
"2014",0.0165780403449585,3.01085075593026e-06
"2015",0.016589776294292,3.01213327565823e-06
"2016",0.0166004225498861,3.01043862220855e-06
"2017",0.0166175071083528,3.00635296557467e-06
"2018",0.0166332655675145,2.99976524678448e-06
"2019",0.0166405565158237,2.99064093311212e-06
"2020",0.0166372488404599,2.97932859598195e-06
"2021",0.0166556282859903,2.96927770458585e-06
"2022",0.0166378403526832,2.95445538253492e-06
"2023",0.0163795329904233,2.91745016986267e-06
"2024",0.0163890094921162,0.000192417284565957
"2025",0.0163095811344794,0.000266021982569736
"2026",0.0162313428039,0.000359426156259194
"2027",0.0161518532977169,0.000468205152556639
"2028",0.0160709554962535,0.000590907303146871
"2029",0.0159937275912229,0.000727190315909155
"2030",0.0159193801794586,0.000874919301611477
"2031",0.015846322817583,0.00103312618350637
"2032",0.0157722516610185,0.00120163913718539
"2033",0.0156962650488474,0.00138086282489931
"2034",0.0156206450653118,0.00157130988506028
"2035",0.0155453897968745,0.00177189154112907
"2036",0.0154704973819224,0.00198169165317026
"2037",0.0153959660020659,0.00219993092869005
"2038",0.0153217938706001,0.00242593831620569
"2039",0.015247979223612,0.00265912895223828
"2040",0.0151745203143723,0.00289898733914172
