measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,1998,2989459.321716071,3081844.8444822226,2902879.5741322194
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,1999,3073592.394117765,3160179.9974866933,2989911.2297134083
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2000,3167761.5241495003,3255175.397489452,3083310.755268474
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2001,3267967.799841008,3352108.3762335833,3185768.91680822
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2002,3365072.9723146707,3459522.9030410023,3273739.8228257927
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2003,3467592.502708332,3569669.521074715,3367608.999974555
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2004,3565795.727875766,3679895.2272146214,3455263.8734521987
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2005,3672308.0083460077,3795740.5501434724,3554967.2387433005
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2006,3791402.617151934,3932431.640970117,3656722.687327522
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2007,3930958.854224457,4067595.6652353597,3797302.040964727
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2008,4087791.6961412453,4219977.557411362,3958154.588676939
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2009,4251512.581479599,4381792.7141718315,4121306.7798614246
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2010,4417818.444485418,4548032.037043235,4286160.785896608
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2011,4581217.542811838,4712456.220892769,4453926.843324479
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2012,4736726.390657559,4881236.629851975,4598837.013456368
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2013,4887661.04453349,5044480.170263819,4741175.83569063
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2014,5047682.654231866,5217336.228056162,4878959.180239342
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2015,5212641.548113645,5399867.401511147,5034978.047240397
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2016,5384362.2896871995,5587605.965282879,5187060.396527325
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2017,5576651.713766575,5793487.195154481,5369529.272625462
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2018,5781210.785040276,6014763.156453897,5561676.87130176
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2019,5994173.153432182,6251469.480248106,5761966.901950608
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2020,6187669.0609474,6460831.512247027,5925765.111209757
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2021,6322034.856638966,6622265.770428197,6048873.62330591
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2022,6517931.107041936,6847204.457132031,6222153.787335465
44,Population,44637,Low SDI,3,Both,30,80-84 years,1,Number,2023,6759955.411225215,7104442.649981094,6424119.750879354
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1990,959387.0536828246,984859.1538617649,935295.0033337527
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1991,997114.3380299575,1021650.4199213389,973541.5116804834
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1992,1028940.2289433518,1056858.7613746603,1002534.3398331677
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1993,1060832.4529302572,1090569.9296517018,1031465.8326202477
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1994,1097136.727487207,1129717.2953032756,1064337.353980731
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1995,1136825.810923994,1173884.0270145559,1101571.883970964
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1996,1175486.316856178,1214926.8192736374,1136816.8058956875
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1997,1221387.3103088383,1260448.6511228771,1182353.9973298653
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1998,1267937.8499795375,1306599.568046609,1230902.2889165948
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,1999,1312496.085235645,1348843.2054471772,1277094.6160770997
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2000,1353853.845109724,1389774.1442670731,1317639.3848161742
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2001,1397183.4495932937,1432373.2009545998,1362646.13037491
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2002,1444830.616553838,1483696.6509028738,1406360.471664817
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2003,1490780.0634885202,1533500.3758953386,1448894.9545998394
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2004,1540816.7516041426,1589627.3572782588,1494421.1869966981
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2005,1591992.0019006275,1642849.295098665,1542512.7725748015
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2006,1644268.1650188817,1701506.4480632143,1587562.991638438
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2007,1695253.415888549,1751306.3503144688,1640342.0975308062
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2008,1750463.7506604989,1804046.8376106028,1696224.8295330782
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2009,1805534.9284536762,1858034.1540921002,1753069.8341162628
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2010,1866912.5645668802,1918651.2423301968,1814432.488816467
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2011,1935457.2479413424,1987630.4104700154,1884533.0286642618
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2012,2012720.8899516934,2071180.7120040273,1956302.1269585618
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2013,2092001.2161633957,2154672.0172197944,2030861.7618437293
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2014,2165651.7219989505,2235162.198313253,2099234.3716390557
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2015,2237831.3948359494,2312185.6938117435,2168541.9720553383
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2016,2312708.48279548,2390550.6579215294,2237713.005363755
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2017,2393671.65910316,2480240.5382099473,2317254.9280560305
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2018,2486438.7040165896,2577677.3115385068,2402744.716195542
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2019,2596005.4843454794,2697000.4492175626,2505234.206435881
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2020,2697009.590781454,2806814.736570019,2595151.2689520805
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2021,2773180.559390465,2891985.6696958593,2664399.751448128
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2022,2867225.547524666,2997065.648758297,2748476.6836466123
44,Population,44637,Low SDI,3,Both,31,85-89 years,1,Number,2023,2989592.8546584416,3125770.8163224435,2858255.9757530885
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1990,265694.82969613443,271691.048412101,259769.4847464673
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1991,282310.2422075807,288234.3870033104,276286.57432449656
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1992,301360.5859257845,308506.19934978924,294223.37076660135
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1993,321976.4110396242,330278.7910280828,313823.42461940565
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1994,341599.23154824704,350894.2013204785,332297.970039759
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1995,356553.2089273558,366965.23823281005,346131.0060405363
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1996,370997.4626727673,382241.9178820133,359540.8466960304
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1997,383825.3908402644,394829.76495451696,372627.07795430324
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1998,396359.01140470884,407833.2423565682,385531.1711957994
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,1999,412133.5349369134,423552.6592413182,401412.93454477517
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2000,430778.92362853664,442283.29403750866,419563.03468938766
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2001,450427.35812287393,461810.9944177231,439493.01797802874
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2002,473202.0581832268,485952.08764549013,460783.6305026291
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2003,495570.14621346816,509879.04783891875,481619.94503306074
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2004,515663.3245866332,531647.0869622948,500379.6802685112
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2005,533027.6872500603,549892.1291498907,516877.5205257328
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2006,550419.8605804492,569134.6612383515,532225.8604214163
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2007,569808.2198376316,587871.1376909821,551902.1316756778
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2008,588919.999937062,606078.2449856919,571654.1556596016
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2009,610928.080451164,628339.6742787781,593917.3771323771
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2010,634119.8492356751,651489.975389249,617299.6682434812
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2011,658494.1619014109,675686.4749397129,642053.1730219896
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2012,682192.2221736629,700991.8913397808,664013.911781692
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2013,704947.3826359975,725256.7407087106,685637.6626159515
