"","age_id","age_name","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1",7,"10-14",6984419.87713213,7084602.81191993,7193588.73494328,7309777.83472642,7425050.31391515,7534337.07274753,7642692.3763928,7744630.7564126,7829485.21588419,7892572.03192279,7931701.4734771,7937796.17868469,7915947.22981497,7876291.8754741,7826184.31290606,7768350.07649325,7718065.98002153,7677020.83415703,7642898.84685615,7620726.40164408,7617278.46774131,7622796.15332934,7632826.13299076,7655349.7433757,7692617.83249051,7743049.51499004,7814156.38283665,7908705.93637908,8017306.82102119,8128310.02038498,8230701.15968109,8335019.77374004,8412101.30030251,8352698.32553876
"2",8,"15-19",9729441.37601134,9693844.85704014,9666166.12575145,9667455.97173235,9707624.75495552,9791983.64468366,9890308.33308434,9978431.88418554,10069006.6602984,10173056.2030889,10308752.7225581,10482085.965985,10657358.0145613,10814324.6373495,10938300.1561884,11014219.4137377,11020415.0030909,10969153.1346022,10884072.3717611,10791316.883582,10703601.3104726,10643928.5274481,10611743.99171,10597359.2316746,10593624.1671949,10602523.2016816,10621450.2296184,10655065.7903323,10711139.3295982,10789460.2897811,10884550.7602126,11028569.7185069,11181861.8912074,11177131.1568787
"3",9,"20-24",10761881.190595,10735177.1068028,10694211.5417324,10660445.2236298,10634620.9406287,10626058.9037846,10598784.4858233,10530775.9736065,10470008.424283,10463678.4370677,10546621.6837569,10697063.5218253,10864213.5750634,11043141.5984796,11225318.1386466,11405368.6274808,11584681.6113808,11750598.3946216,11891988.1237864,12017448.5113915,12098778.5968386,12127542.3817097,12117511.4692014,12087468.530375,12044289.2914644,11990899.2402617,11966164.958168,11978794.1107573,12004574.827568,12030178.1521944,12056637.1799698,12089647.0963505,12109431.8931755,11988856.76389
